id,title,all_artists,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,speechiness
1qFMIjTe9esCDiytqUY19t,i can't breathe,Bea Miller,2018-02-23,0.347,0.209,11,-11.152,1,0.893,0.00287,0.138,0.0735,82.878,213987,4,0.0273
5E5MqaS6eOsbaJibl3YeMZ,Homesick,Dua Lipa,2017-06-02,0.426,0.224,6,-8.683,1,0.948,0.0,0.112,0.399,85.728,230480,5,0.0391
6CcJMwBtXByIz4zQLzFkKc,i love you,Billie Eilish,2019-03-29,0.421,0.131,0,-18.435,1,0.952,0.00453,0.109,0.12,137.446,291796,4,0.0382
2VlLbhGLVJgdOW7kKdWWFc,Six Feet Under,Billie Eilish,2016-11-17,0.576,0.307,11,-12.732,0,0.807,0.000355,0.0792,0.157,67.513,189613,4,0.0428
0tMSssfxAL2oV8Vri0mFHE,listen before i go,Billie Eilish,2019-03-29,0.319,0.0561,0,-23.023,1,0.935,0.00384,0.388,0.082,79.764,242652,3,0.045
1FBuBhNZ8dmjUBWR58UOQv,Tell Me Why I'm Waiting,Timmies,2017-09-21,0.671,0.277,6,-11.185,0,0.8,0.000325,0.0657,0.173,124.008,123891,4,0.0549
4Of7rzpRpV1mWRbhp5rAqG,Bruises,Lewis Capaldi,2019-05-17,0.736,0.308,4,-7.83,1,0.946,0.0,0.186,0.361,111.202,220492,4,0.0677
2JF8KwK1hH7MWxKcFdTlcg,In The Party,Flo Milli,2019-10-28,0.88,0.556,9,-6.544,1,0.00874,0.0,0.217,0.422,135.012,141088,4,0.333
2RtNSM8cPCAOZ5bvQbW6y3,Oblivion,Grimes,2012-03-12,0.697,0.529,2,-8.838,1,0.115,0.901,0.0895,0.486,155.974,251267,4,0.0338
6potEImiklXkwD9qFzpu15,Forever,Labrinth,2019-10-04,0.563,0.459,4,-7.781,0,0.92,0.724,0.11,0.197,79.983,202536,4,0.0292
6YpI4sWbjUhVPdlpwYwCO6,Animal,Sir Chloe,2019-02-28,0.494,0.457,7,-6.072,1,0.407,1.43e-06,0.142,0.342,82.837,160519,4,0.0306
4DpNNXFMMxQEKl7r0ykkWA,Play Date,Melanie Martinez,2015-08-14,0.68,0.729,5,-5.077,1,0.612,0.0,0.224,0.446,123.97,179867,4,0.0475
6N22FZs2ZhPBYi3b9XPajV,Still Don't Know My Name,Labrinth,2019-10-04,0.316,0.63,5,-5.963,1,0.471,0.262,0.205,0.313,89.643,153294,1,0.117
7nu0Lc0jJltztDxsGeoPiG,When I Rule the World,LIZ,2015-07-17,0.768,0.633,8,-4.089,0,0.00951,0.0,0.199,0.824,129.074,185813,4,0.157
7hpJ9tATWb2vztlq99hERP,Maniac,Conan Gray,2019-10-25,0.623,0.647,8,-5.438,1,0.00122,0.0,0.354,0.522,107.987,185787,4,0.04
3Kd6Wp3lG5HXMB2dlvuy7y,Death,DaBaby,2019-11-22,0.802,0.82,10,-5.969,0,0.0579,0.0,0.149,0.613,164.005,172196,4,0.146
5NORWMFC27ywGSZxi8uquP,Ophelia,The Lumineers,2016-04-08,0.664,0.573,5,-6.519,1,0.613,0.000363,0.0857,0.566,76.023,160097,4,0.0277
5JCi3pyggvk4B0yd0BK3ow,Stay High - Habits Remix,Hippie Sabotage,2014-09-24,0.736,0.677,4,-7.036,0,0.00114,0.844,0.0949,0.0747,121.01,258387,4,0.0352
1Uw6KbX1DHUqW1OCgQBIa8,Birthday Suit,Cosmo Sheldrake,2019-04-05,0.803,0.505,8,-8.012,1,0.833,0.000107,0.115,0.74,124.873,73947,4,0.109
3oLe5ZILASG8vU5dxIMfLY,The Search,NF,2019-07-26,0.789,0.789,2,-4.813,1,0.598,0.0,0.099,0.37,119.95,248053,4,0.298
6Nle9hKrkL1wQpwNfEkxjh,Chanel,Frank Ocean,2017-03-10,0.776,0.503,0,-5.732,0,0.874,0.0,0.112,0.473,110.134,210285,4,0.237
4vZOoSFplBM0WqRrxnehgG,One Two,Ugly God,2019-08-09,0.876,0.519,2,-7.317,1,0.0995,0.000101,0.104,0.156,75.483,114437,4,0.11
5NlV5HVIfgk5eHxvAGGTfy,better off,Chelsea Cutler,2018-04-20,0.72,0.316,8,-12.532,0,0.803,0.00016,0.154,0.442,98.925,192920,4,0.0414
02dRkCEc8Q5ch4TTcnLxOn,Nothing Breaks Like a Heart (feat. Miley Cyrus),Miley Cyrus,2019-06-21,0.601,0.794,7,-5.844,0,0.00987,1.36e-06,0.418,0.244,114.066,217099,4,0.0671
4g2WiijzSKzH8PApKDbadN,Touch,Sleeping At Last,2019-11-01,0.415,0.104,0,-11.83,1,0.955,3.79e-06,0.104,0.18,82.006,256300,3,0.0426
49MMefftWPcltNP4OOJGSs,I Lost a Friend,FINNEAS,2019-05-03,0.453,0.209,11,-11.917,1,0.587,0.0,0.119,0.216,169.316,237020,4,0.223
2MvvoeRt8NcOXWESkxWn3g,Ribs,Lorde,2013-09-27,0.511,0.472,4,-9.277,1,0.534,0.614,0.11,0.0399,127.978,258969,4,0.091
2uuh0F28HlUlZyaYvfpyg0,Points of View,Abandoning Sunday,2015-06-16,0.425,0.117,4,-17.921,1,0.903,1.23e-05,0.107,0.192,139.813,241285,4,0.0375
